,Period,Year,Month,Location,Gender,Age-group,Occupation,Income Level,"Personal Hygiene (eg Soap, toothpaste)",Cleaning products,Long lasting (dry) groceries,"Fresh groceries (Fruits, vegetables)",Medicines/Natural remedies,Alcohol beverages,Skin care (eg. Body lotion),Hair care (eg. Shampoo),"Entertainment (eg. Restaurants, movies)","Electronics (eg Phone, Computers)","Beauty (eg Makeup, cosmetics, haircuts)",Clothing,Airtime/Data bundles
0,2024-12-20,2024,12,MS1,Male,Gen Z,Salaried employee,High Income,Less,Same,More,Not sure,Same,Same,More,More,More,Same,Same,Same,Not sure
1,2024-12-20,2024,12,MS1,Female,Gen X,Salaried employee,Middle Income,Less,Same,More,Not sure,Same,Same,More,Not sure,More,Same,Less,Same,More
2,2024-12-20,2024,12,MS1,Male,Millennials,Salaried employee,Middle Income,Less,Same,More,Not sure,Same,Same,More,More,More,Same,More,Same,More
3,2024-12-20,2024,12,MS1,Female,Gen Z,Salaried employee,Middle Income,Less,Same,More,More,Not sure,Not sure,More,Not sure,Not sure,More,Not sure,More,More
4,2024-12-20,2024,12,MS1,Female,Millennials,Salaried employee,Middle Income,Less,Same,More,Not sure,Same,Same,More,Not sure,More,Same,Less,Same,More
5,2024-12-20,2024,12,MS1,Male,Gen Z,Salaried employee,Middle Income,Less,Same,More,Not sure,Same,Same,More,Not sure,More,Same,Less,Same,More
6,2024-12-20,2024,12,MS1,Female,Gen Z,Salaried employee,Low Income,Less,Same,More,Not sure,Same,Same,More,Not sure,More,Same,Less,Same,More
7,2024-12-20,2024,12,MS1,Male,Millennials,Salaried employee,Middle Income,Less,Same,More,Not sure,More,More,More,More,More,More,More,More,More
8,2024-12-20,2024,12,MS1,Male,Gen Z,Salaried employee,Low Income,Not sure,More,Same,Less,More,Not sure,Same,Same,More,More,Same,Less,Same
10,2024-12-20,2024,12,MS1,Male,Millennials,Salaried employee,Middle Income,Less,Same,More,Not sure,Same,Same,More,Not sure,More,Same,Less,Same,More
11,2024-12-20,2024,12,MS1,Male,Millennials,Salaried employee,Middle Income,More,More,Not sure,More,More,Not sure,More,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure
12,2024-12-20,2024,12,MS1,Female,Gen Z,Salaried employee,Middle Income,Less,Same,More,Not sure,Same,Same,More,Not sure,More,Same,More,Not sure,Not sure
13,2024-12-20,2024,12,MS1,Male,Gen Z,Student,Low Income,Not sure,More,Same,More,More,Less,Same,More,Not sure,More,Same,Less,More
14,2024-12-20,2024,12,MS1,Female,Gen X,Business owner,Middle Income,Less,Same,More,More,More,Not sure,More,Same,More,More,More,Not sure,Not sure
15,2024-12-20,2024,12,MS1,Female,Gen Z,Student,Low Income,Less,Same,More,Not sure,Same,Same,More,Not sure,More,Same,Less,Same,More
16,2024-12-20,2024,12,MS1,Male,Gen X,Business owner,High Income,More,More,More,More,More,More,More,More,More,More,More,More,More
17,2024-12-20,2024,12,MS1,Female,Gen X,Business owner,Middle Income,Less,Same,More,More,More,Same,Same,More,More,More,More,More,Not sure
18,2024-12-20,2024,12,MS1,Female,Millennials,Business owner,Middle Income,Less,Same,Same,More,Same,Not sure,Not sure,Not sure,Less,Less,More,More,Less
19,2024-12-20,2024,12,MS1,Female,Millennials,Self employed/Contractor,High Income,Less,Same,More,Not sure,Same,Same,More,Not sure,Not sure,More,Same,More,Not sure
20,2024-12-20,2024,12,N1,Male,Gen Z,Salaried employee,Low Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
21,2024-12-20,2024,12,N1,Male,Millennials,Salaried employee,Middle Income,More,More,More,More,More,More,More,More,Same,Same,Same,Same,Same
22,2024-12-20,2024,12,N1,Male,Millennials,Salaried employee,Low Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
23,2024-12-20,2024,12,N1,Female,Gen Z,Salaried employee,Low Income,More,More,More,More,More,More,More,More,More,More,More,More,More
25,2024-12-20,2024,12,N1,Male,Millennials,Salaried employee,Low Income,More,More,More,More,More,More,More,More,More,More,More,More,More
29,2024-12-20,2024,12,N1,Male,Millennials,Salaried employee,Low Income,More,More,More,More,Not sure,Not sure,Not sure,Not sure,More,More,More,More,More
32,2024-12-20,2024,12,N1,Male,Millennials,Salaried employee,Low Income,More,More,More,More,Same,Same,Same,Same,Same,Same,More,More,More
34,2024-12-20,2024,12,N1,Female,Millennials,Salaried employee,Low Income,Same,Same,Same,Same,More,More,More,Same,Same,Same,Same,More,More
36,2024-12-20,2024,12,N1,Male,Gen Z,Business owner,Low Income,More,More,More,More,More,More,More,More,More,More,More,More,More
37,2024-12-20,2024,12,N1,Male,Millennials,Self employed/Contractor,Middle Income,More,More,More,More,More,More,More,More,More,More,More,More,More
38,2024-12-20,2024,12,N1,Male,Millennials,Student,Low Income,More,More,More,More,More,More,More,More,More,More,More,More,More
39,2024-12-20,2024,12,N1,Female,Gen Z,Business owner,Low Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
40,2024-12-20,2024,12,N10,Male,Millennials,Salaried employee,Middle Income,Same,Less,Less,Same,Less,Less,Less,Less,Less,Less,Same,Less,Same
41,2024-12-20,2024,12,N10,Female,Gen X,Salaried employee,Middle Income,Same,Same,Less,Same,Not sure,Not sure,Less,Less,Less,Less,Same,Less,Same
42,2024-12-20,2024,12,N10,Male,Millennials,Salaried employee,Middle Income,Same,Less,Less,Same,Not sure,Not sure,Less,Less,Less,Less,Same,Less,Same
43,2024-12-20,2024,12,N10,Female,Millennials,Salaried employee,Middle Income,Same,Same,More,Same,Less,Not sure,Less,Less,Less,Less,Same,Less,Same
44,2024-12-20,2024,12,N10,Male,Gen Z,Self employed/Contractor,Middle Income,Same,Same,Same,Same,Not sure,Less,Less,Not sure,Less,Less,Same,Less,Same
45,2024-12-20,2024,12,N10,Female,Millennials,Business owner,Middle Income,Same,Same,Less,Same,Less,Not sure,Same,Less,Less,Less,Less,Less,Same
46,2024-12-20,2024,12,N10,Female,Gen Z,Business owner,Middle Income,Less,Same,Less,Same,Less,Not sure,Same,Less,Less,Less,Same,Less,Same
47,2024-12-20,2024,12,N10,Male,Gen Z,Self employed/Contractor,Middle Income,Same,Same,Less,Same,Not sure,Less,Same,Less,Less,Less,Same,Less,More
48,2024-12-20,2024,12,N10,Female,Gen Z,Business owner,Middle Income,Same,Same,Same,Same,Less,Less,Less,Less,Less,Less,Same,Less,More
49,2024-12-20,2024,12,N10,Male,Millennials,Self employed/Contractor,Middle Income,Less,Same,Less,Same,Not sure,Less,Same,Not sure,Less,Less,Same,Less,Same
50,2024-12-20,2024,12,N11,Male,Gen Z,Salaried employee,Low Income,Same,More,Not sure,Same,Not sure,Less,Same,Not sure,Same,Same,Not sure,Less,Less
51,2024-12-20,2024,12,N11,Female,Millennials,Salaried employee,Middle Income,Same,Same,More,More,Same,Not sure,Same,Same,Less,Less,Less,Less,Less
52,2024-12-20,2024,12,N11,Female,Gen Z,Salaried employee,Middle Income,Same,Same,Same,Same,Not sure,Not sure,Same,Same,Same,Same,Same,Same,Less
53,2024-12-20,2024,12,N11,Male,Millennials,Salaried employee,Middle Income,Same,Same,More,Same,Same,Less,Not sure,Not sure,Less,Less,Not sure,Less,Same
54,2024-12-20,2024,12,N11,Male,Gen Z,Salaried employee,High Income,Less,Less,More,Less,Not sure,Not sure,Less,Not sure,Less,Less,Not sure,Less,Less
55,2024-12-20,2024,12,N11,Male,Gen X,Salaried employee,Middle Income,Same,Same,More,Same,Not sure,Less,Same,Not sure,Same,Same,Not sure,Same,Less
56,2024-12-20,2024,12,N11,Female,Millennials,Salaried employee,Middle Income,Same,Same,More,More,Same,Less,Same,Same,Same,Same,Less,Less,Less
57,2024-12-20,2024,12,N11,Female,Millennials,Business owner,Middle Income,More,More,More,More,More,Less,Same,Less,Less,Less,Not sure,Same,Less
58,2024-12-20,2024,12,N11,Female,Millennials,Business owner,High Income,Same,Same,More,More,Not sure,Not sure,Same,Same,Less,Less,Less,Same,Less
59,2024-12-20,2024,12,N11,Male,Millennials,Business owner,Middle Income,Same,Same,Same,Same,Less,Less,Same,Not sure,Same,Same,Not sure,Same,Same
60,2024-12-20,2024,12,N11,Male,Millennials,Business owner,Middle Income,Same,Same,Same,More,Same,Not sure,Same,Same,More,Less,Not sure,Same,More
61,2024-12-20,2024,12,N11,Male,Millennials,Business owner,Middle Income,Same,Same,More,Same,Same,Less,Less,Not sure,Same,Same,Not sure,More,More
