<<<<<<< HEAD
,Gender,Age-group,Income Level,Occupation
0,1,2,2,0
1,0,1,1,0
2,1,1,1,0
3,0,2,1,0
4,0,1,1,0
5,1,2,1,0
6,0,2,0,0
7,1,1,1,0
8,1,2,0,0
10,1,1,1,0
11,1,1,1,0
12,0,2,1,0
13,1,2,0,1
14,0,1,1,2
15,0,2,0,1
16,1,1,2,2
17,0,1,1,2
18,0,1,1,2
19,0,1,2,3
20,1,2,0,0
21,1,1,1,0
22,1,1,0,0
23,0,2,0,0
25,1,1,0,0
29,1,1,0,0
32,1,1,0,0
34,0,1,0,0
36,1,2,0,2
37,1,1,1,3
38,1,1,0,1
39,0,2,0,2
40,1,1,1,0
41,0,1,1,0
42,1,1,1,0
43,0,1,1,0
44,1,2,1,3
45,0,1,1,2
46,0,2,1,2
47,1,2,1,3
48,0,2,1,2
49,1,1,1,3
50,1,2,0,0
51,0,1,1,0
52,0,2,1,0
53,1,1,1,0
54,1,2,2,0
55,1,1,1,0
56,0,1,1,0
57,0,1,1,2
58,0,1,2,2
59,1,1,1,2
60,1,1,1,2
61,1,1,1,2
62,0,1,1,2
63,0,1,1,3
64,0,1,1,3
65,1,1,1,0
66,0,1,1,0
67,1,2,1,0
68,1,1,1,0
69,0,2,1,0
70,1,1,1,0
71,1,1,1,0
72,0,1,1,0
73,1,2,1,0
74,0,0,2,4
75,1,1,0,2
76,0,2,0,1
77,1,0,1,4
78,1,2,2,2
79,1,1,1,0
80,1,1,1,0
81,1,1,1,0
82,0,1,1,0
83,1,1,1,0
84,0,1,1,0
85,1,2,1,1
86,1,0,1,4
87,0,2,1,1
88,0,0,1,4
89,0,1,1,2
90,0,2,1,1
91,0,2,1,1
92,1,1,1,2
93,1,1,1,3
94,0,1,1,0
95,1,2,0,0
96,1,1,0,0
97,1,2,1,0
98,0,1,1,0
99,1,0,2,3
100,0,1,1,2
101,1,1,0,2
102,0,0,1,4
103,0,1,1,3
104,0,1,1,2
105,0,2,0,3
106,1,2,1,3
107,1,1,1,3
108,0,1,1,3
109,1,1,1,0
110,0,2,0,0
111,1,2,0,0
112,0,1,1,0
113,1,1,0,0
114,0,1,1,0
115,1,1,1,0
116,0,1,0,4
117,0,2,1,4
118,1,2,1,1
119,1,1,1,2
120,0,1,1,2
121,1,1,1,3
122,1,0,0,4
123,1,1,1,2
124,1,1,1,0
125,1,2,0,0
126,0,2,0,0
127,1,1,1,0
128,1,1,1,0
129,0,2,0,0
130,1,1,1,3
131,0,2,0,1
132,0,2,0,4
133,1,2,0,4
134,1,1,2,2
135,1,1,1,3
136,1,1,2,3
137,0,2,1,4
138,0,1,1,0
139,0,1,1,0
140,0,1,1,0
141,0,1,1,0
142,1,2,1,0
143,1,2,1,0
144,0,2,1,0
145,0,2,1,0
146,0,2,1,0
147,1,1,1,2
148,1,2,1,3
149,1,1,1,2
150,1,1,1,2
151,1,2,1,2
152,0,1,1,2
153,1,1,1,2
154,0,2,2,3
155,0,2,0,0
156,0,1,0,0
157,0,1,1,0
158,0,1,0,0
159,1,1,1,0
160,1,1,0,0
161,1,2,0,0
162,1,0,1,2
163,0,2,0,3
164,0,1,0,4
165,1,0,2,4
166,1,1,1,3
167,0,2,0,4
168,0,1,1,4
169,1,1,0,2
170,0,1,1,0
171,1,1,1,0
172,0,2,1,0
173,1,2,1,0
174,1,2,1,0
175,1,0,2,4
176,1,1,2,3
177,0,1,1,2
178,0,1,2,2
179,0,0,2,2
180,0,1,2,3
181,1,1,2,3
182,0,2,1,3
183,0,1,2,3
184,1,1,2,3
185,1,1,0,0
186,0,1,1,0
187,0,1,1,0
188,0,1,1,0
189,1,1,1,0
190,0,2,0,0
191,1,1,1,2
192,1,1,0,4
193,0,1,0,3
194,0,1,1,3
195,0,1,1,0
196,1,1,1,0
197,0,1,1,0
198,0,1,1,0
199,1,2,1,0
200,0,1,1,0
201,1,1,1,0
202,0,1,1,0
203,1,2,1,3
204,1,1,1,3
205,0,1,1,2
206,1,1,2,3
207,0,2,1,3
208,1,1,2,3
209,1,1,2,3
210,0,2,0,0
211,1,1,1,0
212,0,1,0,0
213,1,0,1,0
214,1,2,0,0
215,1,1,0,0
216,0,1,0,0
217,1,2,0,0
218,0,1,0,0
219,0,2,0,0
220,1,0,0,3
221,0,1,1,2
222,1,1,0,4
223,1,1,1,2
224,0,1,1,3
225,1,2,2,0
226,0,1,1,0
227,1,1,1,0
228,0,1,2,0
229,1,1,1,4
230,0,1,1,3
231,0,1,1,3
232,1,1,1,2
233,1,2,1,2
234,1,2,2,2
235,0,1,1,3
236,1,2,0,4
237,1,0,1,4
238,0,1,1,2
239,0,1,1,3
240,1,1,1,0
241,0,1,2,0
242,1,1,1,0
243,1,1,2,0
244,0,1,1,0
245,0,1,1,0
246,1,1,0,2
247,0,1,0,2
248,0,1,0,2
249,0,2,2,3
250,1,2,2,1
251,0,1,1,2
252,0,1,0,2
253,0,1,0,2
254,0,1,1,2
255,0,1,1,0
256,0,1,0,0
257,1,1,1,0
258,1,2,1,0
259,0,1,1,3
260,1,1,1,3
261,1,1,1,2
262,0,1,1,3
263,1,0,1,3
264,0,1,1,0
265,0,1,1,0
266,0,1,0,0
268,1,2,0,0
269,1,1,0,0
270,1,1,0,0
271,0,2,0,0
272,1,1,1,2
273,0,1,0,3
274,0,1,0,2
275,1,1,1,3
276,0,1,0,4
277,1,1,1,2
278,0,1,1,2
279,0,1,1,0
280,1,2,1,0
281,1,1,1,0
282,0,1,1,0
283,0,2,1,0
284,0,1,1,2
285,0,1,1,3
286,0,2,0,1
287,1,2,0,1
288,0,0,2,4
289,1,0,2,4
290,0,1,2,5
291,1,1,2,2
292,1,1,2,3
293,1,1,2,3
294,1,1,1,0
295,1,2,1,0
296,1,1,1,0
297,0,1,1,0
298,1,1,1,0
299,0,1,1,0
300,0,1,1,5
301,0,2,0,4
302,0,2,1,5
303,0,0,2,4
304,1,0,2,4
305,1,2,1,1
306,0,1,1,3
307,1,1,2,3
308,0,1,1,3
309,1,1,1,0
310,0,1,2,0
311,0,1,2,0
312,1,1,1,0
313,1,1,2,0
314,1,1,1,0
315,0,1,1,0
317,1,1,1,0
318,0,2,1,0
319,1,1,1,0
320,0,2,2,0
321,0,2,1,0
322,1,2,1,0
323,0,2,1,0
324,1,1,1,0
325,1,1,0,4
326,1,1,0,3
327,0,1,0,2
328,0,1,0,3
329,0,1,0,2
330,0,1,0,2
331,0,1,0,4
332,1,1,0,2
333,0,1,0,2
334,0,1,0,3
335,1,1,2,3
336,0,1,1,3
337,1,1,0,4
338,0,1,0,4
339,0,1,1,0
340,1,1,1,0
341,0,0,1,0
342,1,2,1,0
343,0,1,1,0
344,0,0,1,0
345,1,2,0,2
346,1,2,1,3
347,0,1,1,3
348,0,1,2,0
349,0,2,0,0
350,1,2,1,0
351,1,1,0,0
352,1,0,0,0
353,1,1,0,0
354,0,1,0,0
355,1,1,1,0
356,1,1,0,0
357,0,1,1,0
358,0,0,0,3
359,1,1,1,2
360,0,1,0,3
361,0,1,0,3
362,0,2,0,1
363,1,1,0,3
364,0,1,1,0
365,0,1,2,0
366,0,1,2,0
367,0,1,1,0
368,0,1,1,0
369,0,1,1,0
370,0,2,1,0
371,1,0,2,2
372,1,1,1,3
373,1,2,0,3
374,1,2,0,3
375,1,1,1,3
376,0,0,1,4
377,0,2,1,3
378,1,1,2,3
379,0,1,0,0
380,0,2,0,0
381,1,1,0,0
382,0,2,0,0
383,0,1,0,0
384,1,1,0,0
385,1,1,0,0
386,1,1,0,0
387,1,1,0,0
388,0,0,1,0
389,1,2,0,0
390,1,2,0,3
391,1,1,1,2
392,1,1,1,3
393,1,0,1,3
394,1,1,0,0
395,0,1,1,0
396,0,2,0,0
398,1,2,0,0
401,1,2,0,3
402,0,2,0,3
403,1,1,1,2
405,0,1,0,3
406,1,1,1,3
407,1,1,0,3
408,0,1,1,3
409,1,1,1,0
410,1,1,1,0
411,1,1,1,0
412,0,1,1,0
413,0,1,1,0
414,0,1,1,0
415,1,1,1,0
416,1,2,1,0
417,0,2,0,0
418,0,2,0,0
419,0,2,1,0
421,1,1,1,0
422,1,2,1,3
423,0,1,1,2
424,1,1,1,0
425,1,1,1,0
426,0,1,0,0
427,0,1,1,0
428,0,1,0,0
429,0,2,0,0
430,1,1,1,0
431,1,1,1,0
432,0,1,0,0
433,1,0,1,0
434,0,2,0,1
435,0,2,0,1
436,1,2,0,1
437,1,1,1,3
438,1,1,1,3
439,1,2,0,0
440,1,1,0,0
441,1,1,1,0
442,0,1,1,0
443,0,2,0,0
444,1,2,0,0
445,1,2,0,0
446,0,2,0,4
447,0,2,0,4
448,0,1,0,4
449,0,1,1,4
450,1,1,1,2
451,0,1,0,2
452,1,1,1,3
453,0,1,1,3
454,0,1,0,2
455,1,1,1,0
456,0,1,1,0
457,0,2,0,0
458,0,1,1,3
459,1,1,1,3
460,0,0,1,4
461,0,2,0,1
462,1,1,2,3
463,1,2,0,4
464,0,1,1,2
465,1,1,1,2
466,1,2,1,2
467,1,1,1,3
468,0,1,1,3
469,1,1,1,3
470,0,2,0,0
471,1,1,2,0
472,0,1,1,0
473,1,2,0,0
474,1,1,0,0
475,1,1,1,0
476,0,1,1,0
477,1,1,1,0
478,0,1,1,0
479,1,1,1,0
480,1,1,1,0
481,0,1,0,0
482,0,1,0,0
483,1,1,0,0
484,1,1,0,0
485,1,1,0,0
486,0,1,1,3
487,1,2,0,1
488,0,2,0,2
489,1,2,0,3
490,1,1,0,0
491,1,1,1,0
492,0,1,0,0
493,0,2,0,0
494,0,2,0,0
495,0,1,0,3
496,0,2,0,0
497,0,1,1,0
498,0,2,1,4
499,0,2,1,4
500,0,1,1,3
501,1,2,0,0
502,0,1,1,2
503,1,2,0,0
504,1,1,1,0
505,1,1,1,2
506,1,2,1,1
507,1,2,1,4
508,1,1,1,2
509,1,2,1,0
510,0,2,0,0
511,0,2,0,0
512,0,2,0,4
513,0,1,0,2
514,0,1,0,0
515,0,2,0,0
516,0,1,0,0
517,1,2,0,4
518,1,2,0,0
519,1,2,0,0
520,1,1,0,3
521,1,1,0,2
522,1,1,0,2
523,1,1,0,3
524,1,1,0,4
525,0,1,1,3
526,1,1,1,3
527,0,1,0,2
528,0,1,0,3
529,0,2,0,2
530,0,1,0,0
531,0,2,1,0
532,1,1,1,3
533,1,1,1,0
534,0,1,1,0
535,0,1,1,0
536,1,1,2,3
537,0,2,1,2
538,1,1,2,2
539,0,1,1,2
540,1,2,0,4
541,1,1,1,0
542,1,1,1,3
543,1,1,1,0
544,0,1,1,2
545,0,1,1,2
546,1,1,1,2
547,0,2,1,2
548,0,2,0,1
549,0,1,1,0
550,1,2,1,0
551,1,1,1,4
552,0,2,1,0
553,0,1,1,0
554,0,1,1,0
555,0,1,1,0
556,1,1,1,2
557,1,2,1,3
558,0,2,0,0
559,1,1,1,0
560,0,0,2,2
561,0,2,0,0
562,1,1,1,3
563,1,2,0,3
564,1,0,1,2
565,0,1,1,0
566,1,1,2,2
567,0,1,0,0
568,0,1,1,2
