,Gender,Age-group,Occupation,Income Level
3134,1,1,4,1
7127,0,2,1,0
7771,0,1,1,0
6697,0,2,1,0
4732,0,1,4,0
4319,1,1,0,2
10312,0,1,0,1
4963,0,2,2,0
8311,1,1,2,1
7918,1,1,0,1
5010,1,1,0,1
1785,0,2,0,1
7710,1,1,0,0
5176,0,1,3,1
9972,0,1,0,1
5601,1,1,3,0
6004,0,2,1,1
3628,0,1,4,0
5080,0,1,2,0
1608,0,1,0,1
5041,1,2,1,2
8323,1,0,2,1
6889,0,1,2,1
4083,1,1,0,1
2483,1,2,0,0
8239,1,1,0,1
9433,0,0,4,1
9780,1,2,0,1
3397,0,2,0,0
3770,1,1,0,1
7606,0,1,3,2
6265,1,1,0,1
3555,0,1,3,1
9154,0,1,0,1
6247,1,1,2,1
9718,0,2,0,1
852,0,1,5,1
6969,0,1,0,1
8372,1,1,2,1
2358,0,1,3,1
5383,1,1,0,0
3436,1,1,3,1
7006,1,1,0,0
3227,0,2,0,1
4635,0,1,4,1
4340,0,1,0,1
4774,0,1,0,2
9540,1,2,1,1
10121,0,0,4,1
7709,1,1,0,0
9196,1,1,4,1
1231,0,2,0,0
5421,1,1,0,0
5459,1,1,0,1
6797,0,0,2,1
1474,0,2,0,0
7985,0,1,4,1
6851,1,1,4,0
1185,1,1,3,2
9194,1,1,0,1
10447,1,2,0,1
4660,1,1,0,1
3349,1,1,3,1
5885,0,1,2,0
990,1,2,4,0
4968,0,1,0,1
5982,1,0,2,1
6795,1,1,2,1
9136,0,2,0,1
1528,1,2,4,2
2397,0,1,0,0
3180,1,1,0,1
8243,1,1,0,1
1471,0,2,4,0
6434,1,2,0,0
6006,0,1,3,1
5970,1,1,0,1
1089,1,1,2,1
7334,0,2,1,1
9027,1,2,1,1
3074,1,1,0,1
8370,0,1,0,1
5202,1,1,0,1
10489,1,1,0,1
1589,1,1,2,1
3061,1,1,0,1
7145,0,1,0,0
10102,0,1,0,1
740,0,2,0,1
4600,1,1,2,1
5869,0,1,0,1
1159,0,2,0,0
3265,1,1,2,1
5513,1,1,3,1
5145,1,1,0,1
7273,0,1,0,0
7802,1,1,2,0
5929,0,1,0,0
8506,0,1,2,1
1606,1,2,0,1
9507,1,1,2,1
9168,0,1,1,1
8398,0,2,2,1
5870,0,1,1,1
3106,0,2,0,0
7493,1,1,1,1
4517,1,0,4,2
3870,0,1,0,0
2221,0,2,0,0
6160,1,0,0,1
7723,1,0,0,1
10462,0,1,3,1
8737,0,2,0,1
10244,1,1,0,1
8089,1,1,0,0
1437,1,1,3,2
8206,1,1,3,1
7101,0,1,0,0
6829,0,2,1,2
5557,0,1,2,0
9076,0,1,2,1
18,0,1,2,1
1817,1,1,0,0
1939,1,1,0,1
1687,1,0,3,1
141,0,1,0,1
8578,0,1,0,1
8371,1,1,0,1
3368,0,1,3,0
10297,1,1,2,1
1127,0,1,2,0
5643,0,1,0,1
5315,1,1,0,0
543,1,1,0,1
6981,1,1,3,1
2056,1,1,0,0
3867,1,1,0,0
177,0,1,2,1
7203,0,1,0,0
1970,1,1,3,0
10449,1,2,0,1
4861,0,1,0,1
6218,0,1,3,1
7965,0,1,0,2
9922,1,1,3,1
6674,0,1,0,0
8415,1,1,0,1
1333,0,1,0,2
2574,0,1,0,0
1394,0,0,0,1
3290,0,1,0,1
7934,0,1,0,1
1321,1,1,0,0
2303,1,1,4,0
6834,1,1,0,2
3137,1,1,4,0
8207,1,1,2,1
2067,0,1,4,1
3913,0,0,4,0
5061,1,0,2,1
9099,1,1,0,1
8296,0,1,2,1
9039,1,1,3,1
2201,0,1,3,0
10038,0,1,0,1
7178,1,1,2,1
9272,1,2,1,1
465,1,1,2,1
6268,1,1,0,0
5395,1,1,2,1
827,0,1,0,1
9107,1,1,0,1
6961,1,1,0,1
4932,0,1,2,1
7454,1,1,0,0
7534,1,1,0,0
8081,1,1,0,1
10252,1,1,4,1
9178,0,1,4,1
1522,0,1,0,1
1837,1,1,0,1
2062,0,1,3,0
698,0,2,0,0
10141,1,0,4,1
4458,0,1,0,0
7122,0,1,4,1
66,0,1,0,1
2308,1,1,4,0
5137,0,0,3,1
10020,0,0,0,1
6798,1,1,2,1
55,1,1,0,1
39,0,2,2,0
5114,1,1,5,1
4966,0,1,0,0
1513,0,1,3,2
1710,1,1,0,2
1461,1,2,0,0
2603,1,1,0,2
8172,0,0,4,1
2709,0,2,2,1
7943,1,2,0,0
8156,0,1,0,1
445,1,2,0,0
5611,1,1,0,1
2324,0,0,0,1
396,0,2,0,0
1998,0,1,0,1
4507,0,1,0,1
489,1,2,3,0
7082,0,1,3,0
3630,1,1,3,0
7028,1,1,0,1
10529,0,1,4,1
1087,1,2,1,0
3575,1,1,0,1
5633,0,1,3,1
7634,1,1,0,2
7417,0,1,1,0
828,0,2,0,1
9942,0,1,0,1
3012,0,1,2,1
4746,0,0,3,2
8437,1,1,4,1
6677,1,1,2,1
120,0,1,2,1
9392,1,1,2,1
1791,1,1,4,0
10180,0,1,4,1
1497,1,1,0,1
2203,1,2,0,0
330,0,1,2,0
8321,1,1,2,1
3003,1,1,0,1
1973,1,1,3,0
6279,1,1,3,1
8100,1,1,0,0
3643,0,1,2,2
4562,1,1,1,0
8163,1,1,0,1
2183,0,1,2,1
9109,1,1,2,1
2625,0,1,3,1
9234,0,1,0,1
4456,0,1,0,0
1084,1,2,0,0
9129,0,1,2,1
4242,1,1,0,0
108,0,1,3,1
6863,0,0,4,2
1501,0,2,0,1
8257,1,1,0,1
830,0,2,1,0
1124,1,1,0,1
10415,0,1,0,1
5119,1,1,2,1
8867,1,1,2,1
4579,0,1,0,0
9616,0,1,2,1
6929,0,1,2,1
9764,1,1,2,1
1459,1,1,0,1
556,1,1,2,1
8986,0,1,4,1
5466,1,1,0,1
7789,0,1,0,0
